Week number,Week ending,44 and less,44 to 65,65+,Gender,Region,Year,Deaths
134,10/07/2020,3,21,178,Male,EandW,2020,COVID
135,17/07/2020,3,18,143,Male,EandW,2020,COVID
136,24/07/2020,2,18,94,Male,EandW,2020,COVID
137,31/07/2020,1,15,91,Male,EandW,2020,COVID
138,07/08/2020,1,9,68,Male,EandW,2020,COVID
139,14/08/2020,1,4,64,Male,EandW,2020,COVID
140,21/08/2020,0,13,57,Male,EandW,2020,COVID
141,28/08/2020,2,12,52,Male,EandW,2020,COVID
142,04/09/2020,0,7,39,Male,EandW,2020,COVID
143,11/09/2020,3,5,49,Male,EandW,2020,COVID
144,18/09/2020,3,8,65,Male,EandW,2020,COVID
145,25/09/2020,2,17,112,Male,EandW,2020,COVID
146,02/10/2020,3,12,170,Male,EandW,2020,COVID
147,09/10/2020,4,30,223,Male,EandW,2020,COVID
148,16/10/2020,4,32,352,Male,EandW,2020,COVID
149,23/10/2020,6,58,503,Male,EandW,2020,COVID
150,30/10/2020,5,75,709,Male,EandW,2020,COVID
151,06/11/2020,7,108,973,Male,EandW,2020,COVID
152,13/11/2020,8,131,1214,Male,EandW,2020,COVID
153,20/11/2020,10,140,1395,Male,EandW,2020,COVID
154,27/11/2020,12,153,1536,Male,EandW,2020,COVID
155,04/12/2020,16,149,1391,Male,EandW,2020,COVID
156,11/12/2020,16,165,1351,Male,EandW,2020,COVID
157,18/12/2020,10,148,1457,Male,EandW,2020,COVID
158,25/12/2020,10,135,1469,Male,EandW,2020,COVID
159,01/01/2021,14,166,1510,Male,EandW,2020,COVID
160,03/01/2020,0,0,0,Female,EandW,2020,COVID
161,10/01/2020,0,0,0,Female,EandW,2020,COVID
162,17/01/2020,0,0,0,Female,EandW,2020,COVID
163,24/01/2020,0,0,0,Female,EandW,2020,COVID
164,31/01/2020,0,0,0,Female,EandW,2020,COVID
165,07/02/2020,0,0,0,Female,EandW,2020,COVID
166,14/02/2020,0,0,0,Female,EandW,2020,COVID
167,21/02/2020,0,0,0,Female,EandW,2020,COVID
168,28/02/2020,0,0,0,Female,EandW,2020,COVID
169,06/03/2020,0,0,0,Female,EandW,2020,COVID
170,13/03/2020,0,0,3,Female,EandW,2020,COVID
171,20/03/2020,1,3,37,Female,EandW,2020,COVID
172,27/03/2020,2,23,181,Female,EandW,2020,COVID
173,03/04/2020,20,147,1182,Female,EandW,2020,COVID
174,10/04/2020,27,260,2107,Female,EandW,2020,COVID
175,17/04/2020,42,326,3333,Female,EandW,2020,COVID
176,24/04/2020,39,270,3374,Female,EandW,2020,COVID
177,01/05/2020,17,168,2696,Female,EandW,2020,COVID
178,08/05/2020,20,104,1814,Female,EandW,2020,COVID
179,15/05/2020,13,95,1759,Female,EandW,2020,COVID
180,22/05/2020,9,68,1221,Female,EandW,2020,COVID
181,29/05/2020,2,48,877,Female,EandW,2020,COVID
182,05/06/2020,7,55,742,Female,EandW,2020,COVID
183,12/06/2020,5,29,509,Female,EandW,2020,COVID
184,19/06/2020,3,27,361,Female,EandW,2020,COVID
185,26/06/2020,1,20,246,Female,EandW,2020,COVID
186,03/07/2020,4,7,239,Female,EandW,2020,COVID
187,10/07/2020,1,8,155,Female,EandW,2020,COVID
188,17/07/2020,0,10,121,Female,EandW,2020,COVID
189,24/07/2020,1,9,93,Female,EandW,2020,COVID
190,31/07/2020,2,7,77,Female,EandW,2020,COVID
191,07/08/2020,0,7,67,Female,EandW,2020,COVID
192,14/08/2020,1,4,65,Female,EandW,2020,COVID
193,21/08/2020,1,5,62,Female,EandW,2020,COVID
194,28/08/2020,2,2,31,Female,EandW,2020,COVID
195,04/09/2020,0,5,27,Female,EandW,2020,COVID
196,11/09/2020,1,4,37,Female,EandW,2020,COVID
197,18/09/2020,1,5,57,Female,EandW,2020,COVID
198,25/09/2020,1,9,74,Female,EandW,2020,COVID
199,02/10/2020,0,15,121,Female,EandW,2020,COVID
200,09/10/2020,1,11,169,Female,EandW,2020,COVID
201,16/10/2020,5,16,261,Female,EandW,2020,COVID
202,23/10/2020,3,29,379,Female,EandW,2020,COVID
203,30/10/2020,7,32,551,Female,EandW,2020,COVID
204,06/11/2020,3,69,777,Female,EandW,2020,COVID
205,13/11/2020,13,82,1018,Female,EandW,2020,COVID
206,20/11/2020,10,69,1073,Female,EandW,2020,COVID
207,27/11/2020,12,86,1241,Female,EandW,2020,COVID
208,04/12/2020,12,80,1187,Female,EandW,2020,COVID
209,11/12/2020,8,82,1134,Female,EandW,2020,COVID
210,18/12/2020,8,114,1249,Female,EandW,2020,COVID
211,25/12/2020,11,97,1190,Female,EandW,2020,COVID
212,01/01/2021,13,99,1342,Female,EandW,2020,COVID
