Week number,Week ending,44 and less,44 to 65,65+,Gender,Region,Year,Deaths
1,03/01/2020,153,665,5071,Male,EandW,2020,All
2,10/01/2020,220,884,5724,Male,EandW,2020,All
3,17/01/2020,256,939,5235,Male,EandW,2020,All
4,24/01/2020,256,820,4839,Male,EandW,2020,All
5,31/01/2020,228,858,4708,Male,EandW,2020,All
6,07/02/2020,199,784,4423,Male,EandW,2020,All
7,14/02/2020,221,767,4503,Male,EandW,2020,All
8,21/02/2020,245,725,4469,Male,EandW,2020,All
9,28/02/2020,248,717,4470,Male,EandW,2020,All
10,06/03/2020,244,744,4470,Male,EandW,2020,All
11,13/03/2020,230,819,4521,Male,EandW,2020,All
12,20/03/2020,218,767,4413,Male,EandW,2020,All
13,27/03/2020,218,764,4749,Male,EandW,2020,All
14,03/04/2020,216,1157,7421,Male,EandW,2020,All
15,10/04/2020,236,1315,8397,Male,EandW,2020,All
16,17/04/2020,248,1401,9796,Male,EandW,2020,All
17,24/04/2020,293,1434,9501,Male,EandW,2020,All
18,01/05/2020,248,1183,7426,Male,EandW,2020,All
19,08/05/2020,176,847,5186,Male,EandW,2020,All
20,15/05/2020,225,987,6031,Male,EandW,2020,All
21,22/05/2020,260,906,4931,Male,EandW,2020,All
22,29/05/2020,186,662,3986,Male,EandW,2020,All
23,05/06/2020,202,790,4351,Male,EandW,2020,All
24,12/06/2020,208,772,4005,Male,EandW,2020,All
25,19/06/2020,215,702,3853,Male,EandW,2020,All
26,26/06/2020,177,707,3616,Male,EandW,2020,All
27,03/07/2020,201,725,3712,Male,EandW,2020,All
28,10/07/2020,209,687,3514,Male,EandW,2020,All
29,17/07/2020,201,712,3452,Male,EandW,2020,All
30,24/07/2020,207,763,3519,Male,EandW,2020,All
31,31/07/2020,220,761,3589,Male,EandW,2020,All
32,07/08/2020,237,711,3571,Male,EandW,2020,All
33,14/08/2020,214,667,3876,Male,EandW,2020,All
34,21/08/2020,241,745,3833,Male,EandW,2020,All
35,28/08/2020,215,775,3586,Male,EandW,2020,All
36,04/09/2020,173,588,3164,Male,EandW,2020,All
37,11/09/2020,228,768,4022,Male,EandW,2020,All
38,18/09/2020,233,725,3879,Male,EandW,2020,All
39,25/09/2020,234,764,3919,Male,EandW,2020,All
40,02/10/2020,214,738,4129,Male,EandW,2020,All
41,09/10/2020,234,731,4140,Male,EandW,2020,All
42,16/10/2020,222,789,4257,Male,EandW,2020,All
43,23/10/2020,234,812,4364,Male,EandW,2020,All
44,30/10/2020,241,827,4495,Male,EandW,2020,All
45,06/11/2020,239,843,4939,Male,EandW,2020,All
46,13/11/2020,230,900,5209,Male,EandW,2020,All
47,20/11/2020,245,939,5341,Male,EandW,2020,All
48,27/11/2020,262,950,5238,Male,EandW,2020,All
49,04/12/2020,258,938,5117,Male,EandW,2020,All
50,11/12/2020,223,970,5126,Male,EandW,2020,All
51,18/12/2020,236,926,5508,Male,EandW,2020,All
52,25/12/2020,202,802,4932,Male,EandW,2020,All
53,01/01/2021,133,641,4351,Male,EandW,2020,All
54,03/01/2020,100,536,5728,Female,EandW,2020,All
55,10/01/2020,131,616,6482,Female,EandW,2020,All
56,17/01/2020,143,579,5838,Female,EandW,2020,All
57,24/01/2020,132,536,5270,Female,EandW,2020,All
58,31/01/2020,145,490,5183,Female,EandW,2020,All
59,07/02/2020,118,545,4915,Female,EandW,2020,All
60,14/02/2020,120,521,4816,Female,EandW,2020,All
61,21/02/2020,145,546,4710,Female,EandW,2020,All
62,28/02/2020,136,540,4704,Female,EandW,2020,All
63,06/03/2020,144,508,4782,Female,EandW,2020,All
64,13/03/2020,156,521,4770,Female,EandW,2020,All
65,20/03/2020,113,497,4638,Female,EandW,2020,All
66,27/03/2020,127,537,4747,Female,EandW,2020,All
67,03/04/2020,144,703,6746,Female,EandW,2020,All
68,10/04/2020,148,796,7624,Female,EandW,2020,All
69,17/04/2020,171,893,9842,Female,EandW,2020,All
70,24/04/2020,177,849,9743,Female,EandW,2020,All
71,01/05/2020,156,714,8226,Female,EandW,2020,All
72,08/05/2020,105,523,5820,Female,EandW,2020,All
73,15/05/2020,137,656,6537,Female,EandW,2020,All
74,22/05/2020,146,575,5470,Female,EandW,2020,All
75,29/05/2020,100,461,4429,Female,EandW,2020,All
76,05/06/2020,125,518,4723,Female,EandW,2020,All
77,12/06/2020,134,498,4359,Female,EandW,2020,All
78,19/06/2020,115,504,3950,Female,EandW,2020,All
79,26/06/2020,100,443,3936,Female,EandW,2020,All
80,03/07/2020,131,456,3915,Female,EandW,2020,All
81,10/07/2020,123,421,3736,Female,EandW,2020,All
82,17/07/2020,121,486,3851,Female,EandW,2020,All
83,24/07/2020,129,445,3828,Female,EandW,2020,All
84,31/07/2020,132,448,3796,Female,EandW,2020,All
85,07/08/2020,151,468,3807,Female,EandW,2020,All
86,14/08/2020,140,483,4012,Female,EandW,2020,All
87,21/08/2020,119,506,4187,Female,EandW,2020,All
88,28/08/2020,112,461,3883,Female,EandW,2020,All
89,04/09/2020,108,433,3273,Female,EandW,2020,All
90,11/09/2020,128,441,4224,Female,EandW,2020,All
91,18/09/2020,135,506,4044,Female,EandW,2020,All
92,25/09/2020,142,489,4086,Female,EandW,2020,All
93,02/10/2020,128,519,4217,Female,EandW,2020,All
94,09/10/2020,120,500,4229,Female,EandW,2020,All
95,16/10/2020,128,542,4596,Female,EandW,2020,All
96,23/10/2020,141,518,4670,Female,EandW,2020,All
97,30/10/2020,126,528,4670,Female,EandW,2020,All
98,06/11/2020,142,541,5108,Female,EandW,2020,All
99,13/11/2020,152,590,5173,Female,EandW,2020,All
100,20/11/2020,154,561,5295,Female,EandW,2020,All
101,27/11/2020,149,603,5254,Female,EandW,2020,All
102,04/12/2020,146,591,5253,Female,EandW,2020,All
103,11/12/2020,152,555,5266,Female,EandW,2020,All
104,18/12/2020,142,598,5601,Female,EandW,2020,All
105,25/12/2020,130,513,4941,Female,EandW,2020,All
106,01/01/2021,93,445,4406,Female,EandW,2020,All
107,03/01/2020,0,0,0,Male,EandW,2020,COVID
108,10/01/2020,0,0,0,Male,EandW,2020,COVID
109,17/01/2020,0,0,0,Male,EandW,2020,COVID
110,24/01/2020,0,0,0,Male,EandW,2020,COVID
111,31/01/2020,0,0,0,Male,EandW,2020,COVID
112,07/02/2020,0,0,0,Male,EandW,2020,COVID
113,14/02/2020,0,0,0,Male,EandW,2020,COVID
114,21/02/2020,0,0,0,Male,EandW,2020,COVID
115,28/02/2020,0,0,0,Male,EandW,2020,COVID
116,06/03/2020,0,0,0,Male,EandW,2020,COVID
117,13/03/2020,0,1,1,Male,EandW,2020,COVID
118,20/03/2020,0,3,59,Male,EandW,2020,COVID
119,27/03/2020,6,40,287,Male,EandW,2020,COVID
120,03/04/2020,23,265,1838,Male,EandW,2020,COVID
121,10/04/2020,47,482,3290,Male,EandW,2020,COVID
122,17/04/2020,61,640,4356,Male,EandW,2020,COVID
123,24/04/2020,64,553,3937,Male,EandW,2020,COVID
124,01/05/2020,35,344,2775,Male,EandW,2020,COVID
125,08/05/2020,21,213,1758,Male,EandW,2020,COVID
126,15/05/2020,21,171,1751,Male,EandW,2020,COVID
127,22/05/2020,21,130,1140,Male,EandW,2020,COVID
128,29/05/2020,5,75,815,Male,EandW,2020,COVID
129,05/06/2020,9,68,707,Male,EandW,2020,COVID
130,12/06/2020,4,56,511,Male,EandW,2020,COVID
131,19/06/2020,9,40,343,Male,EandW,2020,COVID
132,26/06/2020,2,35,302,Male,EandW,2020,COVID
133,03/07/2020,2,34,246,Male,EandW,2020,COVID
